 , Total, 15 a 19 años, 20 a 29 años, 30 a 39 años, 40 a 49 años, 50 a 59 años, 60 años y más, No especificado
 Tercer trimestre del 2010, 45701118|0.509418369394415|232809.890110618|, 3665348|1.67544704052612|61410.9645909832|, 11089877|0.956894284656422|106118.399188427|, 11186713|0.908794195817915|101664.198446808|, 9759664|0.904662201487479|88291.9912001809|, 6174563|1.11360864340416|68760.4672604351|, 3807272|1.47507269731182|56160.0297843975|, 17681|25.5498159903379|4517.46296525164|
,,,,,,,,
 Segundo trimestre del 2010, 45841915|0.482474575417989|221175.584759725|, 3637852|1.60663807633329|58447.115392652|, 11025606|0.949725682017992|104713.011780117|, 11347919|0.876342266350864|99446.6105482603|, 9767465|0.885520202796834|86492.8758761098|, 6182182|1.09899941142873|67942.1437934528|, 3864947|1.413834778521|54643.964857404|, 15944|26.3323754319036|4198.43393886271|
,,,,,,,,
 Primer trimestre del 2010, 44720360|0.488707396552333|218551.707084831|, 3492335|1.61945198471587|56556.6884704271|, 10803179|0.971645316862914|104968.582825818|, 11094025|0.874785920756393|97048.9687451944|, 9644988|0.88750867040865|85600.1047598739|, 6010836|1.12875665904427|67847.71161423|, 3658064|1.43165739910802|52370.9439201066|, 16933|24.0295481517874|4068.92338854216|
,,,,,,,,
 Cuarto trimestre del 2009, 45558595|0.49871750397233|227208.687828863|, 3826068|1.5858003901133|60673.8012700002|, 10908779|0.975819684832414|106450.012856865|, 11133409|0.885085998299102|98540.2441923721|, 9692737|0.930904698443119|90230.1441407346|, 6210316|1.14290942492244|70978.2868814666|, 3768948|1.46857012020348|55349.6441740067|, 18338|23.6967010416182|4345.50103701194|
,,,,,,,,
 Tercer trimestre del 2009, 44962042|0.494209055577065|222206.483136363|, 3577333|1.66389054117184|59522.9054132187|, 10752641|0.987950124286835|106230.730123617|, 11114204|0.921519471515601|102419.553963966|, 9605204|0.924209202827313|88772.1793183372|, 6177956|1.12661261617413|69601.6317176869|, 3720346|1.44424738768437|53730.9999178201|, 14358|24.2488699736004|3481.65275080954|
,,,,,,,,
 Segundo trimestre del 2009, 44242950|0.477520382434552|211269.104040328|, 3431353|1.66323332143233|57071.4064719678|, 10536106|0.9492817998376|100017.336669597|, 11128721|0.905725303166715|100795.642015828|, 9578035|0.893765520894763|85605.1744092327|, 5967314|1.13436862504773|67691.3377740804|, 3584357|1.49552610646876|53604.9946840406|, 17064|25.807207074743|4403.74181523415|
,,,,,,,,
 Primer trimestre del 2009, 43837585|0.466355246950464|204438.87778387|, 3387185|1.69520347802111|57419.6779270095|, 10438342|0.933504937826739|97442.4379972424|, 11059952|0.923348075308954|102121.853922094|, 9586059|0.882255668187198|84573.5488832691|, 5865688|1.11765091271226|65557.9154688533|, 3486549|1.49551087472343|52141.7194475611|, 13810|27.3959346291946|3783.37857229178|
,,,,,,,,
 Cuarto trimestre del 2008, 43998840|0.470156934652199|206863.597426526|, 3603708|1.52670309157235|55017.9214472402|, 10544833|0.925390456168804|97580.8782009386|, 11171697|0.92974648635845|103868.460324112|, 9447953|0.869446107144372|82144.8595633299|, 5767873|1.09162635656356|62963.6218811135|, 3453164|1.48755160353352|51367.5964546423|, 9612|24.5229778994957|2357.14863569953|
,,,,,,,,
 Tercer trimestre del 2008, 44224459|0.480309084888671|212414.094319865|, 3756607|1.49098221788581|56010.3423658534|, 10628870|0.949942233631367|100968.125087774|, 11077245|0.893988513873189|99029.2979535921|, 9436737|0.865852012206927|81708.1772011756|, 5732765|1.10736366564862|63482.5566470211|, 3585008|1.47642620120926|52929.9974274482|, 7227|25.5215945998291|1844.44564172965|
,,,,,,,,
 Segundo trimestre del 2008, 44462150|0.475599634072126|211461.8227006|, 3734118|1.5287768359051|57086.3310093629|, 10676977|0.911952802514726|97368.9909753528|, 11245426|0.860603765985259|96778.5596570855|, 9478852|0.887551475028094|84129.69074173|, 5708583|1.07653139316473|61454.6880998648|, 3606992|1.39912484144951|50466.3211010965|, 11202|27.4916011068422|3079.60915598847|
,,,,,,,,
 Primer trimestre del 2008, 43852979|0.486055314987974|213149.73521006|, 3722012|1.53374679125737|57086.2396202141|, 10481624|0.958216655210143|100436.666904504|, 11050107|0.872735430965828|96438.1989486351|, 9338943|0.869688698148679|81219.7317975472|, 5728833|1.09396169899677|62671.2388194874|, 3520242|1.40310218373607|49392.5923747944|, 11218|25.4912964064312|2859.61363087345|
,,,,,,,,
 Cuarto trimestre del 2007, 44445583|0.501948706609873|223094.029013717|, 4152817|1.57330009187915|65336.2736765731|, 10549689|0.945263719671395|99722.382655164|, 11086117|0.880245164144691|97585.0087839225|, 9321857|0.897574045934514|83670.5690311297|, 5687536|1.10612054726487|62911.0043290865|, 3636806|1.51758524844199|55191.6313704533|, 10761|27.2418343514579|2931.49379456038|
,,,,,,,,
 Tercer trimestre del 2007, 43310496|0.481191709032467|208406.515892838|, 3803363|1.51428284568398|57593.6734680916|, 10326931|0.970777108189406|100251.482126515|, 10876848|0.877404142812605|95433.91495943|, 9143409|0.911582387787017|83349.706087333|, 5615624|1.13384051813108|63672.2202578933|, 3534478|1.46912396872726|51925.8634673919|, 9843|26.635913753005|2621.77299070828|
,,,,,,,,
 Segundo trimestre del 2007, 43245283|0.452740084736116|195788.730898573|, 3648649|1.56798090192449|57210.1194982588|, 10468918|0.932973295470773|97672.2092647329|, 10959195|0.847790260904368|92910.9878835185|, 9168342|0.891000863673769|81690.0064045649|, 5537084|1.10561663901359|61218.9220201595|, 3447654|1.49375135009111|51499.37817147|, 15441|23.1401297528854|3573.06743514304|
,,,,,,,,
