states_name,period_of_kind_loan,amount_outstanding_as_of_survey_date,source_of_kind_loan_doctor lawyers and other professionals,source_of_kind_loan_input supplier,source_of_kind_loan_other,source_of_kind_loan_relatives & friends
Jammu and Kashmir,,4500,0,0,0,0
Jammu and Kashmir,2.0,700,0,1,0,0
Jammu and Kashmir,,700,0,0,0,0
Jammu and Kashmir,4.0,2500,0,0,1,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,4.0,1800,0,1,0,0
Jammu and Kashmir,,1800,0,0,0,0
Jammu and Kashmir,2.0,950,0,1,0,0
Jammu and Kashmir,,950,0,0,0,0
Jammu and Kashmir,3.0,2150,0,0,1,0
Jammu and Kashmir,,2150,0,0,0,0
Jammu and Kashmir,2.0,1100,0,0,1,0
Jammu and Kashmir,,1100,0,0,0,0
Jammu and Kashmir,2.0,1000,0,0,1,0
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,2.0,700,0,0,1,0
Jammu and Kashmir,,700,0,0,0,0
Jammu and Kashmir,3.0,5000,0,0,1,0
Jammu and Kashmir,,5000,0,0,0,0
Jammu and Kashmir,2.0,600,0,0,1,0
Jammu and Kashmir,,600,0,0,0,0
Jammu and Kashmir,2.0,3000,0,0,1,0
Jammu and Kashmir,,3000,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,2.0,2500,0,0,1,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,2.0,1000,0,0,1,0
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,2.0,2200,0,0,1,0
Jammu and Kashmir,,2200,0,0,0,0
Jammu and Kashmir,3.0,2450,1,0,0,0
Jammu and Kashmir,,2450,0,0,0,0
Jammu and Kashmir,2.0,2700,0,0,1,0
Jammu and Kashmir,,2700,0,0,0,0
Jammu and Kashmir,3.0,6000,0,0,1,0
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,3.0,1200,0,0,1,0
Jammu and Kashmir,,1200,0,0,0,0
Jammu and Kashmir,3.0,1750,0,0,1,0
Jammu and Kashmir,,1750,0,0,0,0
Jammu and Kashmir,3.0,2000,1,0,0,0
Jammu and Kashmir,,2000,0,0,0,0
Jammu and Kashmir,2.0,1200,0,1,0,0
Jammu and Kashmir,,1200,0,0,0,0
Himachal Pradesh,2.0,1500,0,0,0,1
Himachal Pradesh,,1500,0,0,0,0
Himachal Pradesh,1.0,1200,0,0,0,1
Himachal Pradesh,,1200,0,0,0,0
Himachal Pradesh,1.0,700,0,0,0,1
Himachal Pradesh,,700,0,0,0,0
Himachal Pradesh,2.0,2000,0,1,0,0
Himachal Pradesh,,2000,0,0,0,0
Himachal Pradesh,1.0,700,0,1,0,0
Himachal Pradesh,,700,0,0,0,0
Himachal Pradesh,3.0,13000,0,0,0,1
Himachal Pradesh,,13000,0,0,0,0
Himachal Pradesh,4.0,5000,0,1,0,0
Himachal Pradesh,,5000,0,0,0,0
Himachal Pradesh,5.0,70000,0,0,0,1
Himachal Pradesh,,70000,0,0,0,0
Himachal Pradesh,4.0,20000,0,0,0,1
Himachal Pradesh,,20000,0,0,0,0
Himachal Pradesh,4.0,25000,0,0,1,0
Himachal Pradesh,,25000,0,0,0,0
Himachal Pradesh,1.0,4500,0,1,0,0
Himachal Pradesh,,4500,0,0,0,0
Himachal Pradesh,2.0,2200,0,1,0,0
Himachal Pradesh,,2200,0,0,0,0
Himachal Pradesh,2.0,2500,0,0,1,0
Himachal Pradesh,,2500,0,0,0,0
Himachal Pradesh,2.0,15000,0,1,0,0
Himachal Pradesh,,15000,0,0,0,0
Himachal Pradesh,5.0,15000,0,1,0,0
Himachal Pradesh,,15000,0,0,0,0
Himachal Pradesh,4.0,3000,0,1,0,0
Himachal Pradesh,,3000,0,0,0,0
Himachal Pradesh,2.0,1000,0,0,1,0
Himachal Pradesh,,1000,0,0,0,0
