state_ut,stud_marks_mean,stud_marks_median,stud_marks_std,school_bwr,school_comp,school_med,school_digilib,school_water,school_elec,school_func_bwr,school_func_water,school_func_elec,school_func_gwr,school_gwr,school_wash,schoool_internet,school_kg,school_lib,school_play,school_ptr,school_rwhs,school_ramp,school_r&h,school_cwsn,school_solar,school_func_comp,bse_clients,ut_num_districts,ut_rolledout_districts,num_launched_eservices,eservices_per_district,ut_rolledout_districts%,total_population,pop_on_Aadhaar,pop_on_Aadhaar%
Maharashtra,202.27875475975932,148.0,163.06029789996992,0.949765065462342,0.2493225674011222,0.6642397700834816,0.0484193239359518,0.994717394279458,0.9497194471055151,0.909356324985174,0.9799735413530404,0.8555357876009306,0.9370284202363032,0.968705807216824,0.9844350166507002,0.4794763012636285,0.3515168103644907,0.9776470051548743,0.930669221294649,0.0002737101409607,0.2281191551480315,0.927302586560832,0.7884676793941883,0.526864650335295,0.1048401076593221,0.2342502623055517,38075996,36.0,36.0,389.0,10.805555555555555,1.0,126385000,118309601,0.9361047671796495
Manipur,200.17583277442432,157.0,144.4994136261275,0.8704786658003032,0.0439679445527398,0.1999133636560537,0.0097465886939571,0.9885206844271172,0.6651505306476067,0.7478882391163093,0.9835390946502056,0.5449426034221356,0.752653238033355,0.8689625297812432,0.8323586744639376,0.230669265756985,0.2839506172839506,0.2570933506606021,0.8689625297812432,0.0034654537578514,0.1988304093567251,0.49620965995235,0.3640892354342647,0.081654754169374,0.0758068009529997,0.041585445094217,208750,16.0,16.0,35.0,2.1875,1.0,3223000,2633441,0.8170775674837109
Meghalaya,156.40936917753527,125.0,110.03873893111364,0.8628767123287672,0.0197945205479452,0.2878082191780822,0.0072602739726027,0.5303424657534247,0.2652739726027397,0.7306849315068493,0.4602739726027397,0.2466438356164383,0.6960958904109589,0.816986301369863,0.3788356164383561,0.1684931506849315,0.1216438356164383,0.2375342465753424,0.4367123287671233,0.0014383561643835,0.0922602739726027,0.3038356164383561,0.2122602739726027,0.0261643835616438,0.0183561643835616,0.018904109589041,118231,11.0,11.0,20.0,1.8181818181818181,1.0,3349000,2304621,0.6881519856673634
Mizoram,155.1043613707165,126.0,98.9165380916934,0.9414472002045512,0.0150856558424955,0.3093837893121963,0.0012784454103809,0.9171567374073128,0.843006903605216,0.8698542572232165,0.9020710815648172,0.7962158015852723,0.8683201227307594,0.9296855024290462,0.7274354385067757,0.0784965481973919,0.3556635131679877,0.825875735106111,0.8038864740475582,0.0033239580669905,0.4461774482229609,0.4428534901559703,0.1897212989005369,0.1764254666325748,0.0112503196113525,0.0150856558424955,40080,8.0,8.0,31.0,3.875,1.0,1238000,1190413,0.9615613893376413
Nagaland,172.77807775377968,144.0,107.48376784911939,0.9135393671817512,0.1136865342163355,0.1615158204562178,0.0125091979396615,0.6607799852832965,0.7630610743193524,0.7619573215599705,0.6055923473142016,0.6710816777041942,0.7707873436350258,0.9061810154525386,0.6052244297277409,0.5088300220750552,0.394775570272259,0.7233259749816041,0.7292126563649742,0.0051508462104488,0.303532008830022,0.3785871964679911,0.1640912435614422,0.0544518027961736,0.0835172921265636,0.1074319352465047,89993,11.0,11.0,30.0,2.727272727272727,1.0,2233000,1355835,0.6071809225257501
Odisha,204.6310093911313,146.0,167.62828677421356,0.9356728901446436,0.0620474867958453,0.423801191183317,0.0278049798526271,0.9883610794496798,0.8429147067794706,0.8763866369138399,0.970108041290074,0.7665152269188166,0.9012698463662489,0.9596892006870976,0.9672023245733734,0.1490423977781702,0.4824613507569312,0.9465251802025976,0.6396108587115313,0.0003692347209067,0.0388017530622401,0.80473904737442,0.6948836910629144,0.547976433192596,0.0363615931675522,0.0598160247868873,4803005,30.0,30.0,13.0,0.43333333333333335,1.0,46276000,43867828,0.9479606707580603
Pondicherry,196.23063683304647,140.0,154.31183590510307,0.9551630434782608,0.563858695652174,0.7092391304347826,0.0421195652173913,1.0,1.0,0.9551630434782608,1.0,1.0,0.9646739130434784,0.9646739130434784,0.9959239130434784,0.9836956521739132,0.1997282608695652,0.9959239130434784,0.9184782608695652,0.0285326086956521,0.3831521739130434,0.6535326086956522,0.5788043478260869,0.3804347826086957,0.0339673913043478,0.5448369565217391,176979,4.0,4.0,72.0,18.0,1.0,1376974,1288694,0.9358884045740878
Punjab,228.66236405373877,179.0,164.77775675060312,0.972239269340457,0.4745677051369986,0.5917836901194903,0.0636439117721381,0.9999278004404172,0.999891700660626,0.9681599942240352,0.9997473015414606,0.999783401321252,0.986318183459081,0.9886285693657269,0.9996029024222952,0.5930832821919786,0.8661781163134905,0.9955236273058734,0.9754160499620952,0.0008663947149922,0.1650120934262301,0.897043428035089,0.8510162088011263,0.7956030468214144,0.0898523519006534,0.4693332370672539,5363071,22.0,22.0,42.0,1.9090909090909092,1.0,30730000,31130060,1.0130185486495282
Rajasthan,280.3544787518835,236.0,187.47431817840496,0.9438767356378028,0.0996023426997452,0.4685681516926288,0.0213211999285533,0.9794590732610718,0.8770834704295263,0.8798379287977213,0.9247647429328872,0.8669399189643988,0.9258458443401992,0.979553082079099,0.9678959886437348,0.5985917479059536,0.2415180543935021,0.7749992949338648,0.8035121694414936,0.0002256211632651,0.2837092119240785,0.6529758491346488,0.4143908698635932,0.1983304033918381,0.0408938358418019,0.095315540597708,12833223,33.0,33.0,500.0,15.151515151515152,1.0,81025000,74938355,0.9248794199321198
Sikkim,179.34279778393352,144.0,121.52241512190069,0.9912629070691024,0.3216838760921366,0.653693407466243,0.0563939634630659,0.9952343129467832,0.9960285941223193,0.9849086576648134,0.9928514694201748,0.9841143764892772,0.921366163621922,0.9245432883240668,0.9729944400317712,0.3447180301826846,0.3955520254169976,0.8991262907069102,0.8562351072279587,0.0079428117553613,0.1135822081016679,0.2907069102462272,0.2017474185861795,0.1501191421763304,0.0667196187450357,0.318506751389992,63607,6.0,6.0,22.0,3.6666666666666665,1.0,689000,574111,0.8332525399129173
Tamil Nadu,220.35373915080223,160.0,165.92319738532277,0.9800683661842484,0.098892875971497,1.0,0.0,1.0,1.0,0.980051359670754,1.0,1.0,0.987738303770344,0.9885886294450774,1.0,0.3756058570432475,0.1871056614683423,1.0,0.8678253771194367,0.0003911498103773,0.917977585415214,0.7401234672879713,0.4109283855716739,0.2989575007227768,0.0324824407748167,0.098892875971497,10278461,38.0,38.0,134.0,3.526315789473684,1.0,76860000,73950810,0.9621494925839188
Telangana,222.75320656849024,183.0,154.61295759276442,0.8040990645962445,0.0411763340528746,0.6672469419492607,0.0179189007265046,0.9540886196411578,0.9385836640902444,0.6762992363577282,0.8639370517373441,0.9033725599424368,0.775897685862173,0.9006336606085927,0.8848269619107304,0.2294872687602998,0.0997609265835712,0.9170670566116566,0.7361604345101316,0.0005106422486827,0.2223614882900448,0.7518742891627789,0.3194067265510758,0.0558224821855488,0.0466773437318664,0.0408745909059257,6267493,31.0,31.0,47.0,1.5161290322580645,1.0,38090000,38349916,1.0068237332633236
Tripura,178.17536288740683,132.0,143.6263499301817,0.905457496449584,0.0961655508216676,0.6283221748833435,0.00689795090282,0.8393183201460742,0.5733414485696896,0.7244877257050112,0.7549198620409819,0.5498072631365388,0.7447758165956584,0.8947048082775411,0.8559545546764049,0.1817812943801988,0.2767295597484276,0.7086630148103064,0.779874213836478,0.0040576181781294,0.0290119699736254,0.6299452221545953,0.3528099005883546,0.0878474335565023,0.0231284236153377,0.09373097991479,319834,8.0,8.0,57.0,7.125,1.0,4147000,3805493,0.9176496262358331
